Mixture,B_cells_Memory,B_cells_Naive,CAFs,Cancer_Epithelial,DCs,Endothelial,Macrophage,Monocyte,Myeloid_Cycling,NKT_cells,NK_Bright,NK_Cytotoxic,NK_Exhausted_TaNK,Normal_Epithelial,PVL,Plasmablasts,T_cells_CD4+,T_cells_CD8+,T_cells_Cycling,P-value,Correlation,RMSE,Absolute score (sig.score)
0326e97a-2ec7-4038-98f3-03d94962d869,0.0641430108896538,0.065858022423872,0.344908247918366,0.629327825680322,0.0977510803117218,0.380674053394378,0.179165888236799,0.0770787570025897,0.302309509358779,0,0.0414751007802801,0.0718175234700386,0,0.038362998175086,0.0148685093609472,0.00329486042226099,0.181099834368383,0.0165110627714006,0,0,0.771584447300923,0.690845358026542,2.50864628456488
6906b453-44ef-404a-9fe6-2b4d5fa65110,0.0338746173592437,0.0584706254646819,0.210253266132459,0.493769600335447,0.104431214545158,0.0772421052061212,0.247980229271886,0.0536980689254771,0.61301081041911,0,0.0053087428327712,0.206415652643628,0,0,0.0360678820239113,0.0702053827271026,0.103723830488317,0.124203908698029,0,0,0.800849266988591,0.658600489150203,2.43865593707334
33e0a8b2-3e7e-46da-b5ef-76463308d3b9,0,0.109062115125528,0.399433976779114,0.750152171846948,0,0,0,0.0887286911048075,1.39863808935359,0.00348154095790242,0,0.0795520394761174,0,0,0,0,0.266566308238046,0.0118520479624441,0,0,0.722648394838318,0.714452660538378,3.1074669808445
f3b31315-692c-4040-9f89-1a9988ed2fbc,0.0114391587846653,0,0.108914973968584,0.904349512927888,0,0.0319267695852479,0.344275214911571,0,0.590903110717869,0,0,0.202467933958519,0,0,0.0301555445134804,0.0292702219094689,0.0625659419105596,0.0374365604388422,0.039428017357956,0,0.747117047951979,0.701035125680511,2.39313296098465
404aadcc-cb30-4dba-b2b3-efd573cd9ffe,0.0513549622086058,0,0.194576619854894,0.913122895305,0.133741585003364,0.0883852934345141,0.0188971203465727,0,0.568910205088545,0,0,0.123515417535664,0,0,0.0624200833320957,0.0163798392766972,0.0773247510398359,0.0652083101016775,0,0,0.735887153673374,0.72457832573013,2.31383708252747
59e8b7b7-5183-4655-aa5e-e4b5ba73eded,0.0374963047840281,0.1070179971961,0.136967895349527,0.717455511318327,0.156252438512445,0.110458319648484,0,0,0.541200696150578,0,0.0286598450902876,0.0201904105063027,0,0,0,0.00141231324733328,0.0934397089999653,0.00881647657657705,0.0560963337808238,0,0.695130300380639,0.751180693683727,2.01546425116078
9207fbc6-99eb-4535-8c02-c8bba5875c1b,0,0,0.31748953847336,0.699474488120718,0.0106294282519421,0,0,0,0.637911292571113,0,0,0.0543504021542779,0.000580064969523576,0,0.00149102405321625,0.147443777742486,0.0695412634794317,0.0207091374707052,0,0,0.703598005134603,0.733197577678197,1.95962041728677
df3e51ff-63ad-45c2-ba71-676c5eb6b9e0,0.0268296535461432,0.040799307339547,0.223497011118799,0.903987356994675,0.0238361949386594,0.0804865373978597,0.454203527604892,0,0.148296637199603,0,0.0718774216259243,0.153686037598787,0,0.0434360931282329,0,0.0307548142622236,0.0503356644203796,0,0.163458549357241,0,0.645910708080874,0.776763088535514,2.41548480653297
0a5dab01-33ff-41d1-8842-7b7f18a6efe0,0,0.0479423297180365,0.264789271703761,0.578308851298147,0,0.126780717923774,0.24591419488809,0,0.718267998317988,0,0,0.162012618021967,0,0,0,0.0561004546351747,0.247433047656278,0.0699689699434478,0,0,0.805148601576493,0.663550114496649,2.51751845410666
978fb63c-dae9-4037-81c9-598e87341931,0,0.0386407219935298,1.31805089235314,0.630915600655678,0,0.069769990431833,0.0299899240749609,0,0.990189331882585,0,0,0.219262684869023,0,0,0.0759379767538768,0.03363151826824,0.2249595280293,0.127935082364268,0,0,0.811085521099262,0.600316939107957,3.75928325167644
