names,scores,logfoldchanges,pvals,pvals_adj
PPP1CA,8.983902,0.3986499,2.6133151089116787e-19,1.1485817838614098e-17
NT5C,8.983366,0.44756702,2.6260736734563344e-19,1.1504419505177376e-17
STIP1,8.977283,0.5179157,2.775366125393551e-19,1.211088991870362e-17
OCIAD1,8.977001,0.39214954,2.7824619245520804e-19,1.211088991870362e-17
GSTK1,8.937073,0.3586906,3.996137386384811e-19,1.7309197391267685e-17
IL2RG,8.936899,0.40966454,4.0024231720710865e-19,1.7309197391267685e-17
SEC61B,8.935503,0.38496196,4.0532971767440516e-19,1.7473207286200476e-17
LRP10,8.93388,0.4468369,4.1132296972359306e-19,1.7675098186243444e-17
MRPS6,8.929632,0.3958241,4.2742585932874465e-19,1.830875276165953e-17
AP2S1,8.915911,0.3969662,4.838226888214352e-19,2.0658922595783626e-17
PA2G4,8.910796,0.37573847,5.066737351341668e-19,2.156639971030067e-17
RBM17,8.902565,0.42869723,5.4570510408266565e-19,2.3154713740211974e-17
SPCS1,8.90116,0.36484903,5.526591268429321e-19,2.3376268333829728e-17
TOMM22,8.898663,0.4144575,5.652386390195987e-19,2.383364048841077e-17
MANF,8.896866,0.43870774,5.744606748307974e-19,2.4147033911189874e-17
CSDE1,8.89645,0.36695608,5.766146516855399e-19,2.4162302780102452e-17
SSBP1,8.89497,0.3711511,5.84353494796432e-19,2.4410779273338257e-17
AHSA1,8.89144,0.4279076,6.032191149943507e-19,2.5121097279687575e-17
UBE2A,8.890673,0.4539849,6.074025086564225e-19,2.5217483228618794e-17
DERL1,8.887662,0.4682349,6.240828088565894e-19,2.5830519447552025e-17
ITGB7,8.8815155,0.4385401,6.595575494873701e-19,2.721532114750179e-17
PRMT2,8.881069,0.36492488,6.622075533554725e-19,2.7241361333613994e-17
PDE4D,8.875438,0.5071681,6.965866256600006e-19,2.856852079036592e-17
ZNF428,8.860678,0.45493218,7.952935552080471e-19,3.2517866486127817e-17
STARD3NL,8.851838,0.41261417,8.608917397975538e-19,3.509369258334862e-17
CACYBP,8.850231,0.39715198,8.733847050749215e-19,3.5495722366192517e-17
ACAA2,8.84848,0.4866117,8.871951024008342e-19,3.5948719269352715e-17
EIF1AX,8.835964,0.38326272,9.923891248792195e-19,3.9971064065657636e-17
MSN,8.835175,0.38897637,9.99422652342708e-19,4.0134553119226664e-17
IDH2,8.834652,0.42102447,1.0041078363530116e-18,4.0203047584306186e-17
TMED9,8.831021,0.36835253,1.0372422698616374e-18,4.1406834163441046e-17
TOP1,8.830148,0.41629934,1.0453751178460478e-18,4.158372461542548e-17
CBLB,8.82972,0.40697488,1.0493862520013738e-18,4.158372461542548e-17
HM13,8.829259,0.47682798,1.0537142326103273e-18,4.158372461542548e-17
KDELR2,8.829228,0.41290453,1.0540008758967994e-18,4.158372461542548e-17
OSTC,8.828219,0.3786614,1.0635490999063404e-18,4.1838099140047384e-17
RASA3,8.819786,0.5429025,1.1467909226504702e-18,4.498154046314766e-17
DEK,8.818394,0.38064632,1.1611383845106982e-18,4.54122904991387e-17
ACAP2,8.810115,0.45512354,1.2501733496174719e-18,4.875314741730794e-17
PSMC5,8.809485,0.40014917,1.2572114328293281e-18,4.8886322372236674e-17
SLC16A3,8.805848,0.47836673,1.2986734928440071e-18,5.035345241075916e-17
OLA1,8.801392,0.5668102,1.3512950135168323e-18,5.213829481892064e-17
MAP2K3,8.801242,0.45344245,1.3531089960075986e-18,5.213829481892064e-17
MDH1,8.800977,0.4393331,1.3562989314045168e-18,5.213829481892064e-17
FLOT1,8.799882,0.5033441,1.3696020587609413e-18,5.25001152808562e-17
ANAPC11,8.798295,0.37434793,1.3891049245280437e-18,5.309686330497704e-17
IVNS1ABP,8.7950735,0.3754623,1.4295383951611525e-18,5.4488027022343024e-17
COPZ1,8.79447,0.42689317,1.4372550810193918e-18,5.462783889632297e-17
FLNA,8.792977,0.37282205,1.4564728148029798e-18,5.5202774410496086e-17
CAPZB,8.790603,0.38345042,1.4876039762782969e-18,5.622476317065282e-17
GPI,8.772197,0.60459954,1.7521418786943645e-18,6.603812952296944e-17
UBXN1,8.769498,0.36491156,1.7946535746939983e-18,6.745197961934851e-17
C9orf16,8.767946,0.3679451,1.819553127418074e-18,6.819786207847798e-17
BCAP31,8.766744,0.36292544,1.8390852936550425e-18,6.873899686229221e-17
RNPS1,8.76037,0.3595117,1.9461058364488044e-18,7.25381382629937e-17
PTP4A1,8.760052,0.43424934,1.951601494613508e-18,7.254258668545471e-17
S1PR5,8.754342,0.41066995,2.0529810204040882e-18,7.610129919866033e-17
FBXO7,8.752894,0.4597165,2.0794967940829052e-18,7.687301436317984e-17
LMAN2,8.742254,0.36413977,2.2850472799750067e-18,8.424082772869608e-17
PPP1R18,8.737956,0.36141673,2.373655081778362e-18,8.7269013674211e-17
RBM8A,8.737181,0.3840649,2.3900076879003623e-18,8.763145036097715e-17
PSMA1,8.733918,0.37161884,2.4599851180763737e-18,8.995278915502577e-17
HNRNPR,8.726082,0.3834388,2.6364859011961235e-18,9.61462277428089e-17
PRR13,8.724249,0.36108845,2.6795331115155338e-18,9.745266920129137e-17
PSMB2,8.723339,0.39158326,2.7011537907942328e-18,9.797491424512523e-17
SSR3,8.71995,0.45411453,2.7832448950348477e-18,1.006818320876815e-16
HNRNPAB,8.717383,0.45103487,2.847054047183724e-18,1.0271470657393046e-16
TRAM1,8.711225,0.37369084,3.006097849769169e-18,1.0816340876516106e-16
