names,scores,logfoldchanges,pvals,pvals_adj
CLIC3,5.2126694,inf,1.861423518011495e-07,7.13248933227622e-05
CX3CR1,5.2074184,17.769276,1.9148611941573987e-07,7.181136895365598e-05
CALR,5.195943,48.29833,2.0368466153513408e-07,7.47947050878807e-05
TMEM50A,5.185077,14.356215,2.1592529993323588e-07,7.767141503312685e-05
THRAP3,5.17358,15.118887,2.2965070197545952e-07,8.095646546038898e-05
XRCC5,5.1462092,15.852082,2.6580261163082853e-07,9.009686216548046e-05
TMED9,5.1293306,20.866703,2.907739910200221e-07,9.515275653502384e-05
SEPTIN1,5.1288514,17.445795,2.915153099336938e-07,9.515275653502384e-05
GTF3A,5.1229653,22.514416,3.0076799833931097e-07,9.63879407041581e-05
VASP,5.0772786,18.781715,3.828791894522213e-07,0.00012051122488008665
TUBB,5.0701275,18.7206,3.9754934186124584e-07,0.00012249797768474838
LDHB,5.067492,19.073687,4.0309104196728734e-07,0.00012249797768474838
TXN,4.996439,12.379389,5.839867453292987e-07,0.00017155583955290364
LDHA,4.978969,19.341906,6.392384241446644e-07,0.0001847084666225222
PSMA4,4.9745097,12.750304,6.541304521699197e-07,0.00018510835837611285
TMEM109,4.970641,13.591541,6.673189470123092e-07,0.00018510835837611285
NDUFB7,4.954226,20.27475,7.261879224127913e-07,0.00019189198494917013
PSMA2,4.953362,16.442215,7.294203444680812e-07,0.00019189198494917013
SAMHD1,4.9390607,15.582814,7.849976768204428e-07,0.00020347601546525184
LSP1,4.9326143,43.681572,8.113634493487443e-07,0.00020726220519160822
LAIR1,4.923818,18.994537,8.487172918786073e-07,0.00021370701409503332
MDH2,4.8954377,14.11459,9.808712629899536e-07,0.00024083588238215335
P4HB,4.8948545,19.535261,9.837843828160128e-07,0.00024083588238215335
GLIPR2,4.8875523,12.246826,1.0209745659256793e-06,0.00024651640683569893
VSIR,4.87493,13.879726,1.0884711669879276e-06,0.0002584535487749113
ATP1B3,4.872896,13.339943,1.0997399386201264e-06,0.0002584535487749113
NDUFA6,4.8649974,10.864398,1.1445830508235972e-06,0.00026545290597127267
PRKCH,4.855706,13.212898,1.1995846120947404e-06,0.0002745958230231415
PHF20,4.8519096,11.246285,1.2227822206747257e-06,0.00027631742848221427
PPDPF,4.8431225,33.662716,1.2781436380602014e-06,0.0002818293822627078
RABAC1,4.8419642,15.820825,1.2856194826890666e-06,0.0002818293822627078
SNX17,4.840498,14.101377,1.2951424011845757e-06,0.0002818293822627078
PHPT1,4.8365045,13.985861,1.3214229145782333e-06,0.0002840414669799505
TAF15,4.8283753,13.905727,1.3765154966614423e-06,0.0002918539904164227
SELENOH,4.8263063,11.867491,1.390884783557217e-06,0.0002918539904164227
NCL,4.8123684,19.782578,1.4915221506039609e-06,0.0003046927100434537
HNRNPA3,4.810713,21.462317,1.5039297500159124e-06,0.0003046927100434537
FIS1,4.798078,12.787532,1.6019521924049301e-06,0.00031825875992292957
NOP10,4.7974477,10.422081,1.6070027024362155e-06,0.00031825875992292957
LAMTOR2,4.7839403,7.706837,1.718916783190032e-06,0.0003366403024500834
TTC38,4.776085,15.145204,1.7874115476885763e-06,0.0003432840987628492
APOBEC3G,4.7755923,26.066992,1.7917926407683041e-06,0.0003432840987628492
IFITM3,4.7678576,33.064,1.8619515974738237e-06,0.0003491357325220597
TLN1,4.7593575,11.634229,1.9421037932118354e-06,0.0003603318048331769
DHRS7,4.750717,21.94402,2.0269667255531326e-06,0.000372159536506245
SSR2,4.7481923,36.20591,2.052426258323492e-06,0.0003729491260743285
DEK,4.7353354,13.364905,2.1869315039413655e-06,0.00038992998506160207
ATP5F1A,4.7350397,14.604922,2.1901207603028824e-06,0.00038992998506160207
AKR1C3,4.72728,14.947505,2.2754739520765413e-06,0.00039946832025200714
ATP5F1B,4.726074,11.1691885,2.289021919065739e-06,0.00039946832025200714
ENSA,4.722043,14.852164,2.3348747419520956e-06,0.0003999093004073068
FIBP,4.721864,11.701815,2.336926015088653e-06,0.0003999093004073068
